,img_path,species,ct_site
0,nepal19_crops/2019_BZ01_040464_box0_chital.jpg,chital,BZ01
1,nepal19_crops/2019_BZ01_040269_box0_indian_grey_mongoose.jpg,indian_grey_mongoose,BZ01
2,nepal19_crops/2019_BZ01_042570_box0_macaque.jpg,macaque,BZ01
5,nepal19_crops/2019_BZ01_000180_box0_goat.jpg,goat,BZ01
7,nepal19_crops/2019_BZ01_040267_box0_bird.jpg,bird,BZ01
8,nepal19_crops/2019_BZ01_040445_box0_goat.jpg,goat,BZ01
10,nepal19_crops/2019_BZ01_042557_box0_goat.jpg,goat,BZ01
11,nepal19_crops/2019_BZ01_040385_box0_goat.jpg,goat,BZ01
12,nepal19_crops/2019_BZ01_000092_box0_goat.jpg,goat,BZ01
13,nepal19_crops/2019_BZ01_040330_box0_small_indian_civet.jpg,small_indian_civet,BZ01
14,nepal19_crops/2019_BZ01_040282_box0_chital.jpg,chital,BZ01
16,nepal19_crops/2019_BZ01_040233_box0_goat.jpg,goat,BZ01
18,nepal19_crops/2019_BZ01_040261_box0_cow.jpg,cow,BZ01
20,nepal19_crops/2019_BZ01_042433_box0_goat.jpg,goat,BZ01
22,nepal19_crops/2019_BZ01_040400_box0_small_indian_civet.jpg,small_indian_civet,BZ01
24,nepal19_crops/2019_BZ01_040405_box0_chital.jpg,chital,BZ01
26,nepal19_crops/2019_BZ01_040285_box0_goat.jpg,goat,BZ01
29,nepal19_crops/2019_BZ01_040345_box1_goat.jpg,goat,BZ01
34,nepal19_crops/2019_BZ01_040311_box0_wild_boar.jpg,wild_boar,BZ01
35,nepal19_crops/2019_BZ01_000278_box0_goat.jpg,goat,BZ01
38,nepal19_crops/2019_BZ01_040538_box0_goat.jpg,goat,BZ01
40,nepal19_crops/2019_BZ01_000255_box0_buffalo.jpg,buffalo,BZ01
41,nepal19_crops/2019_BZ01_040429_box0_goat.jpg,goat,BZ01
42,nepal19_crops/2019_BZ01_040385_box2_goat.jpg,goat,BZ01
43,nepal19_crops/2019_BZ01_040538_box1_goat.jpg,goat,BZ01
44,nepal19_crops/2019_BZ01_040514_box0_cow.jpg,cow,BZ01
45,nepal19_crops/2019_BZ01_040271_box0_chital.jpg,chital,BZ01
46,nepal19_crops/2019_BZ01_040385_box3_goat.jpg,goat,BZ01
47,nepal19_crops/2019_BZ01_042475_box0_goat.jpg,goat,BZ01
48,nepal19_crops/2019_BZ01_040300_box0_goat.jpg,goat,BZ01
53,nepal19_crops/2019_BZ01_040385_box1_goat.jpg,goat,BZ01
54,nepal19_crops/2019_BZ01_040477_box0_chital.jpg,chital,BZ01
56,nepal19_crops/2019_BZ01_040570_box0_cow.jpg,cow,BZ01
57,nepal19_crops/2019_BZ01_040345_box0_goat.jpg,goat,BZ01
60,nepal19_crops/2019_BZ02_000361_box0_bird.jpg,bird,BZ02
66,nepal19_crops/2019_BZ02_000443_box0_chital.jpg,chital,BZ02
77,nepal19_crops/2019_BZ02_000443_box1_chital.jpg,chital,BZ02
